,total_abordo,pasajeros_abordo,personal_abordo,total_fallecidos,pasajeros_fallecidos,personal_fallecido,anio
299,14,12,2,8,6,2,2005
300,9,0,9,9,0,9,2005
301,18,15,3,18,15,3,2005
302,169,157,12,3,3,0,2005
303,11,,,11,,,2005
304,13,11,2,13,11,2,2005
305,2,0,2,2,0,2,2005
306,11,7,4,10,6,4,2005
307,15,13,2,15,13,2,2005
308,10,9,1,10,9,1,2005
309,13,8,5,13,8,5,2005
310,27,22,5,27,22,5,2005
311,42,36,6,7,6,1,2005
312,60,54,6,60,54,6,2005
313,309,297,12,0,0,0,2005
314,39,35,4,16,14,2,2005
315,14,12,2,14,12,2,2005
316,121,115,6,121,115,6,2005
317,160,152,8,160,152,8,2005
318,98,92,6,40,36,4,2005
319,117,112,5,99,94,5,2005
320,11,7,4,11,7,4,2005
321,14,11,3,14,11,3,2005
322,100,96,4,2,2,0,2005
323,117,111,6,117,111,6,2005
324,94,84,10,94,84,10,2005
325,103,98,5,0,0,0,2005
326,110,103,7,108,101,7,2005
327,20,18,2,20,18,2,2005
328,23,18,5,23,18,5,2005
329,3,0,3,3,0,3,2006
330,12,,,12,,,2006
331,6,0,6,6,0,6,2006
332,11,8,3,11,8,3,2006
333,43,35,8,42,34,8,2006
334,3,1,2,3,1,2,2006
335,1,0,1,1,0,1,2006
336,19,17,2,19,17,2,2006
337,17,13,4,14,12,2,2006
338,6,0,6,6,0,6,2006
339,16,12,4,2,0,2,2006
340,113,105,8,113,105,8,2006
341,3,0,3,1,0,1,2006
342,4,2,2,4,2,2,2006
343,40,35,5,40,35,5,2006
344,7,0,7,5,0,5,2006
345,9,6,3,9,6,3,2006
346,5,2,3,5,2,3,2006
347,203,195,8,125,120,5,2006
348,45,41,4,45,41,4,2006
349,17,14,3,17,14,3,2006
350,17,14,3,17,14,3,2006
351,1,0,1,1,0,1,2006
352,3,0,3,3,0,3,2006
353,170,160,10,170,160,10,2006
354,50,47,3,49,47,2,2006
355,148,137,11,29,29,0,2006
356,14,12,2,14,12,2,2006
357,15,12,3,12,12,0,2006
358,18,15,3,13,11,2,2006
359,161,153,8,154,148,6,2006
360,16,12,4,4,3,1,2006
361,15,13,2,15,13,2,2006
